scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
WestLindsey,1999-12-20,2024-02-15,29272,Custom,, ,397,, ,29156.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
WestLothian,2000-01-05,2024-02-12,25826,Idox,Scraper Gen2 (Dict -237),no rotation.,398,,page not found,25781.0,,22820,18494,88.51%,71.73%,,2000-2002,,22820,18494,88.51%,71.73%,,0.0,0.0,0.00%,0.00%,
Westminster,2002-11-26,2024-02-08,204469,Idox,Scraper Gen2 (Dict -238),part,399,, ,203713.0,,200155,184734,98.25%,90.68%,,2017-2022,,200155,184734,98.25%,90.68%,,0.0,0.0,0.00%,0.00%,
WestmorlandFurness,1999-01-08,2024-02-15,56451,Atrium,, ,400,, ,56289.0,,54940,46401,97.60%,82.43%,,-,,54940,46401,97.60%,82.43%,,0.0,0.0,0.00%,0.00%,
WestNorthamptonshire,1999-03-19,2024-02-15,119847,Atrium,, ,401,, ,113170.0,,96860,72119,85.59%,63.73%,,2019-2023,,96860,72119,85.59%,63.73%,,0.0,0.0,0.00%,0.00%,
WestOxfordshire,2002-05-23,2024-02-16,44857,Idox,Scraper Gen1,add whitelist,402,publicaccess.westoxon.gov.uk, ,44661.0,,44195,41606,98.96%,93.16%,,2018,,44195,41606,98.96%,93.16%,,0.0,0.0,0.00%,0.00%,
WestSomerset,2000-01-05,2024-02-15,11957,Idox,Scraper Gen1,- m12 scraper 12 whitelist?,403,,many applications are unavailable,11919.0,,10138,10019,85.06%,84.06%,,2000-2002,,10138,10019,85.06%,84.06%,,0.0,0.0,0.00%,0.00%,
WestSuffolk,2000-01-02,2024-02-15,62963,Idox,Scraper Gen1, ,404,, ,62740.0,,62677,61640,99.90%,98.25%,1,-,,62677,61640,99.90%,98.25%,,0.0,0.0,0.00%,0.00%,
WestSussex,2004-01-12,2024-02-09,1946,Atrium,, ,405,, ,1935.0,,1577,1538,81.50%,79.48%,,-,,1577,1538,81.50%,79.48%,,0.0,0.0,0.00%,0.00%,
WhiteHorse,1999-01-11,2024-02-14,48167,Oxon,, ,406,, ,47925.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
