scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Oxfordshire,2005-04-28,2024-01-29,2177,Atrium,, ,275,, ,2167.0,,2138,1889,98.66%,87.17%,,-,,2138,1889,98.66%,87.17%,,0.0,0.0,0.00%,0.00%,
PeakDistrict,2003-10-01,2024-02-15,23738,Custom,, ,276,, ,23567.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
PembrokeCoast,2000-05-22,2024-02-14,15319,SwiftLG,, ,277,, ,15240.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Pembrokeshire,1999-05-18,2024-02-07,31270,Agile,, ,278,, ,31194.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Pendle,2002-05-27,2024-02-16,17066,Idox,Scraper Gen1 (IP rotation 161), ,279,publicaccess.pendle.gov.uk, ,16985.0,,16460,11388,96.91%,67.05%,,2013,,16460,11388,96.91%,67.05%,,0.0,0.0,0.00%,0.00%,
Perth,2002-05-23,2024-02-12,45916,Idox,Scraper Gen1*, ,280,, ,45790.0,,45600,45036,99.59%,98.35%,,- final check,,45600,45036,99.59%,98.35%,,0.0,0.0,0.00%,0.00%,
Peterborough,2002-05-23,2024-02-15,38198,Idox,Scraper Gen,x,281,, ,38013.0,,14782,11208,38.89%,29.48%,,,,15799,12012,41.56%,31.60%,,1017.0,804.0,2.68%,2.12%,
Plymouth,2001-06-29,2024-02-15,40119,Idox,Scraper Gen1, ,282,, ,39990.0,,39942,39449,99.88%,98.65%,,-,,39942,39449,99.88%,98.65%,,0.0,0.0,0.00%,0.00%,
Poole,2000-11-06,2024-02-13,56935,Idox,Scraper Gen1*, ,283,, ,56693.0,,56166,47588,99.07%,83.94%,,-,,56166,47588,99.07%,83.94%,,0.0,0.0,0.00%,0.00%,
Portsmouth,2002-01-24,2024-01-31,28858,Idox,Scraper Gen1, ,284,, ,28771.0,,28740,28354,99.89%,98.55%,1,-,,28740,28354,99.89%,98.55%,,0.0,0.0,0.00%,0.00%,
Powys,1999-12-29,2024-02-09,44838,Idox,Scraper Gen1,part,285,pa.powys.gov.uk/,many applications are unavailable,44715.0,,30248.0,24312.0,67.65%,54.37%,,"2000-2007, 2014-2018",,30248.0,24312.0,67.65%,54.37%,,0.0,0.0,0.00%,0.00%,
Preston,1999-12-22,2023-03-01,27690,Custom,, ,286,, ,27685.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Reading,1999-12-20,2024-02-14,38471,Fastweb,, ,287,, ,38363.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Redbridge,1999-11-12,2024-02-15,101416,Agile,, ,288,, ,101069.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Redcar,1999-10-25,2024-02-14,23455,Atrium,, ,289,, ,23362.0,,22818,22467,97.67%,96.17%,,-,,22818,22467,97.67%,96.17%,,0.0,0.0,0.00%,0.00%,
Reigate,2002-06-05,2024-02-13,61950,Idox,Scraper Gen,x,290,, ,61617.0,,22781,18023,36.97%,29.25%,,,,24291,19085,39.42%,30.97%,,1510.0,1062.0,2.45%,1.72%,
Renfrewshire,2003-06-16,2024-02-13,20795,Idox,Scraper Gen1, ,291,, ,20737.0,,19626,18907,94.64%,91.18%,,-,,19626,18907,94.64%,91.18%,,0.0,0.0,0.00%,0.00%,
Rhondda,1999-03-04,2024-02-16,41539,Idox,Scraper Gen2 (NEC 170),add whitelist?,292,planning.rctcbc.gov.uk, ,41348.0,,30285,29507,73.24%,71.36%,,2015-2023,,30285,29507,73.24%,71.36%,,0.0,0.0,0.00%,0.00%,
RibbleValley,1999-01-05,2024-01-31,36124,Custom,, ,293,, ,27336.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Richmond,1999-03-03,2024-02-15,129519,Thames,, ,294,, ,129078.0,,112077,98002,86.83%,75.92%,,,,112077,98002,86.83%,75.92%,,0.0,0.0,0.00%,0.00%,
Richmondshire,2002-05-23,2024-02-12,17145,Idox,Scraper Gen2 (Civica 171), ,295,, ,17076.0,,16286,10581,95.37%,61.96%,,-,,16286,10581,95.37%,61.96%,,0.0,0.0,0.00%,0.00%,
Rochdale,1999-11-29,2024-02-13,36586,Idox,Not ready (new doc system 172),x,296,, ,36503.0,,10399,8096,28.49%,22.18%,,,,11351,8722,31.10%,23.89%,,952.0,626.0,2.61%,1.71%,
Rochford,1999-12-23,2024-02-14,23389,Astun,, ,297,, ,23303.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Rossendale,2002-05-28,2024-02-12,13646,Idox,Scraper Gen1, ,298,, ,13594.0,,13561,13519,99.76%,99.45%,1,-,,13561,13519,99.76%,99.45%,,0.0,0.0,0.00%,0.00%,
Rother,2000-01-04,2024-02-09,45489,Ocella,, ,299,, ,45381.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Rotherham,1999-12-20,2024-02-14,44735,Fastweb,, ,300,, ,44569.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Rugby,2005-09-01,2024-02-13,23312,Agile,, ,301,, ,23234.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Runnymede,1999-12-29,2024-02-14,35288,PlanningExplorer,, ,302,, ,35115.0,,30224,24794,86.07%,70.61%,,,,30224,24794,86.07%,70.61%,,0.0,0.0,0.00%,0.00%,
Rushcliffe,2002-01-28,2024-02-12,36190,Idox,Scraper Gen1, ,303,, ,36055.0,,35854,35543,99.44%,98.58%,1,-,,35854,35543,99.44%,98.58%,,0.0,0.0,0.00%,0.00%,
Rushmoor,2000-01-05,2024-02-15,20472,Idox,Scraper Gen1, ,304,, ,20402.0,,20335,17168,99.67%,84.15%,,- ,,20335,17168,99.67%,84.15%,,0.0,0.0,0.00%,0.00%,
Rutland,2000-01-04,2024-02-15,26647,Idox,Scraper Gen1, ,305,,"theApnID=
many applications are unavailable",26500.0,,24089,23998,90.90%,90.56%,,2000-2001,,24089,23998,90.90%,90.56%,,0.0,0.0,0.00%,0.00%,
Ryedale,2002-05-24,2024-02-12,17821,Idox,Scraper Gen2 (Civica 177),no rotation.,306,, ,17736.0,,17443,17241,98.35%,97.21%,,-,,17443,17241,98.35%,97.21%,,0.0,0.0,0.00%,0.00%,
Salford,1999-12-29,2024-02-15,38450,Custom,, ,307,, ,38246.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Sandwell,2001-08-16,2024-02-13,33090,Idox,Scraper Gen1 (IP rotation 178),part,308,webcaps.sandwell.gov.uk, ,32938.0,,31785,20981,96.50%,63.70%,,-,,31785,20981,96.50%,63.70%,,0.0,0.0,0.00%,0.00%,
Scarborough,2005-11-24,2024-02-07,19498,Idox,Scraper Gen1, ,309,, ,19435.0,,19418,19344,99.91%,99.53%,1,-,,19418,19344,99.91%,99.53%,,0.0,0.0,0.00%,0.00%,
ScillyIsles,1999-10-13,2024-02-09,1712,Custom,, ,310,, ,1703.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
ScottishBorders,2002-05-23,2024-02-16,37557,Idox,Scraper Gen1,part,311,eplanning.scotborders.gov.uk/, ,37436.0,,22309,22069,59.59%,58.95%,,,,22309,22069,59.59%,58.95%,,0.0,0.0,0.00%,0.00%,
Sedgemoor,1999-12-23,2024-02-16,40442,Custom,, ,312,, ,40233.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Sefton,1999-07-26,2024-02-15,48935,Idox,Scraper Gen2 (No comment 181), ,313,, ,48720.0,,48586,48356,99.72%,99.25%,1,-,,48586,48356,99.72%,99.25%,,0.0,0.0,0.00%,0.00%,
Selby,2002-05-23,2024-02-12,27172,Idox,Not ready (NEC download failed 182),x,314,, ,27079.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Sevenoaks,2002-06-05,2024-02-14,72282,Idox,Scraper Gen2 (IP rotation & No comment 183),part,315,pa.sevenoaks.gov.uk, ,68941.0,,68048,56896,98.70%,82.53%,,2017,,68048,56896,98.70%,82.53%,,0.0,0.0,0.00%,0.00%,
Sheffield,2002-05-25,2024-02-15,87429,Idox,Scraper Gen1 (IP rotation 184),try with oxylabs,316,planningapps.sheffield.gov.uk, ,87084.0,,3782,3735,4.34%,4.29%,,,,3782,3735,4.34%,4.29%,,0.0,0.0,0.00%,0.00%,
Shetland,2000-01-05,2024-02-16,11206,Idox,Scraper Gen,x,317,, ,11146.0,,10492,8849,94.13%,79.39%,,,,10492,8849,94.13%,79.39%,,0.0,0.0,0.00%,0.00%,
Shropshire,2001-02-23,2024-02-15,113947,Idox,Scraper Gen1 (IP rotation 186),part,318,pa.shropshire.gov.uk, ,112717.0,,112155,87721,99.50%,77.82%,,-,,112155,87721,99.50%,77.82%,,0.0,0.0,0.00%,0.00%,
Slough,1999-10-27,2024-02-16,31627,Agile,, ,319,, ,31472.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Snowdonia,2000-01-04,2024-02-14,13655,SwiftLG,, ,320,, ,13600.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Solihull,2000-01-05,2024-02-13,62028,Idox,Scraper Gen2 (No comment 187),no rotation.,321,, ,61837.0,,61488,61154,99.44%,98.90%,1,-,,61488,61154,99.44%,98.90%,,0.0,0.0,0.00%,0.00%,
Somerset,2000-01-14,2024-02-15,4318,Atrium,, ,322,, ,4314.0,,4265.0,4004.0,98.86%,92.81%,,-,,4265.0,4004.0,98.86%,92.81%,,0.0,0.0,0.00%,0.00%,
Southampton,2002-05-23,2024-02-15,38533,Idox,Scraper Gen1, ,323,, ,38360.0,,38347,37745,99.97%,98.40%,1,-,,38347,37745,99.97%,98.40%,,0.0,0.0,0.00%,0.00%,
SouthAyrshire,2000-01-05,2024-02-15,30449,Idox,Scraper Gen1, ,324,publicaccess.south-ayrshire.gov.uk/, ,30377.0,,30093.0,28569.0,99.07%,94.05%,,-,,30093.0,28569.0,99.07%,94.05%,,0.0,0.0,0.00%,0.00%,
SouthCambs,2002-05-30,2024-02-16,64942,Idox,Scraper Gen1 (IP rotation 190),try with oxylabs,325,applications.greatercambridgeplanning.org, ,64514.0,,63988,44974,99.18%,69.71%,,-,,63988,44974,99.18%,69.71%,,0.0,0.0,0.00%,0.00%,
SouthDerbyshire,1999-08-02,2024-02-12,29646,Custom,, ,326,, ,29529.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
SouthDowns,2012-01-28,2024-02-15,59460,Idox,Scraper Gen1,part,327,planningpublicaccess.southdowns.gov.uk/, ,59097.0,,36411.0,31533.0,61.61%,53.36%,,,,36411.0,31533.0,61.61%,53.36%,,0.0,0.0,0.00%,0.00%,
